pokedex_number	Name	type1	type2	abilities	hp	attack	defense	sp_attack	sp_defense	speed	Red	Blue	Blue (Japan)	Yellow	Gold	Silver	Crystal	Ruby	Sapphire	Emerald	FireRed	LeafGreen	Colosseum	XD	Diamond	Pearl	Platinum	HeartGold	SoulSilver	Pal Park	Black	White	Black 2	White 2	X	Y	Omega Ruby	Alpha Sapphire	Sun	Moon	Ultra Sun	Ultra Moon	Let's Go Pikachu	Let's Go Eevee	Sword	Shield	Expansion Pass	Brilliant Diamond	Shining Pearl	Legends: Arceus	Scarlet	Violet
#0001	Bulbasaur	grass	poison	['Overgrow', 'Chlorophyll']	45	49	49	65	65	45	Starter Pokémon from Professor Oak in Pallet Town	Starter Pokémon from Professor Oak in Pallet Town	Starter Pokémon from Professor Oak in Pallet Town	 Received from a girl in Cerulean City if starter Pikachu's friendship is 147 or higher	Time Capsule, Event	Time Capsule, Event	 Time Capsule, Event	Trade, Event	Trade, Event	 Trade, Event	Starter Pokémon from Professor Oak in Pallet Town	Starter Pokémon from Professor Oak in Pallet Town	 Trade	 Trade	Trade	Trade	 Trade	Received from Professor Oak in Pallet Town after defeating Red	Received from Professor Oak in Pallet Town after defeating Red	 Field	Global Link Event	Global Link Event	Poké Transfer, Event	Poké Transfer, Event	Received from Professor Sycamore in Lumiose City after defeating him	Received from Professor Sycamore in Lumiose City after defeating him	Trade, Event	Trade, Event	Trade	Trade	Route 2 (Island Scan)Fr	Route 2 (Island Scan)Fr	Viridian ForestCerulean City (Only one)	Viridian ForestCerulean City (Only one)	Wild Area News, Pokémon HOME EventTradeVersion 1.2.0+	Wild Area News, Pokémon HOME EventTradeVersion 1.2.0+	 Master Dojo (Only one; Gigantamax Factor)	Grand Underground - Grassland Cave, Sunlit Cavern, Swampy Cave, Riverbank Cave, Still-Water Cavern, Bogsunk Cavern (After obtaining the National Pokédex)	Grand Underground - Grassland Cave, Sunlit Cavern, Swampy Cave, Riverbank Cave, Still-Water Cavern, Bogsunk Cavern (After obtaining the National Pokédex)	 Unobtainable	Unobtainable	Unobtainable
#0002	Ivysaur	grass	poison	['Overgrow', 'Chlorophyll']	60	62	63	80	80	60	Evolve Bulbasaur	Evolve Bulbasaur	Evolve Bulbasaur	 Evolve Bulbasaur	Time Capsule	Time Capsule	 Time Capsule	Trade	Trade	 Trade	Evolve Bulbasaur	Evolve Bulbasaur	 Trade	 Trade	Trade	Trade	 Trade	Evolve Bulbasaur	Evolve Bulbasaur	 Field	Poké Transfer	Poké Transfer	Poké Transfer	Poké Transfer	Friend Safari (Grass)	Friend Safari (Grass)	Trade	Trade	Trade	Trade	Evolve Bulbasaur	Evolve Bulbasaur	Evolve Bulbasaur	Evolve Bulbasaur	Wild Area News, Evolve Pokémon HOME event BulbasaurTradeVersion 1.2.0+	Wild Area News, Evolve Pokémon HOME event BulbasaurTradeVersion 1.2.0+	 Max Lair (Dynamax Adventure)	Evolve Bulbasaur	Evolve Bulbasaur	 Unobtainable	Unobtainable	Unobtainable
#0003	Venusaur	grass	poison	['Overgrow', 'Chlorophyll']	80	82	83	100	100	80	Evolve Ivysaur	Evolve Ivysaur	Evolve Ivysaur	 Evolve Ivysaur	Time Capsule, Event	Time Capsule, Event	 Time Capsule, Event	Trade	Trade	 Trade	Evolve Ivysaur	Evolve Ivysaur	 Trade	 Trade	Trade	Trade	 Trade	Evolve Ivysaur	Evolve Ivysaur	 Field	Poké Transfer	Poké Transfer	Poké Transfer	Poké Transfer	Evolve Ivysaur	Evolve Ivysaur	Trade, Event	Trade, Event	Trade	Trade	Evolve Ivysaur	Evolve Ivysaur	Evolve Ivysaur	Evolve Ivysaur	Evolve Wild Area News IvysaurTradeVersion 1.2.0+	Evolve Wild Area News IvysaurTradeVersion 1.2.0+	 Evolve IvysaurForest of Focus, Training Lowlands (Max Raid Battle)	Evolve Ivysaur	Evolve Ivysaur	 Unobtainable	Unobtainable	Unobtainable
#0004	Charmander	fire		['Blaze', 'Solar Power']	39	52	43	60	50	65	Starter Pokémon from Professor Oak in Pallet Town	Starter Pokémon from Professor Oak in Pallet Town	Starter Pokémon from Professor Oak in Pallet Town	 Received from a Trainer on Route 24	Time Capsule, Event	Time Capsule, Event	 Time Capsule, Event	Trade, Event	Trade, Event	 Trade, Event	Starter Pokémon from Professor Oak in Pallet Town	Starter Pokémon from Professor Oak in Pallet Town	 Trade	 Trade	Trade, Event	Trade, Event	 Trade, Event	Received from Professor Oak in Pallet Town after defeating Red	Received from Professor Oak in Pallet Town after defeating Red	 Field	Global Link Event	Global Link Event	Poké Transfer, Event	Poké Transfer, Event	Received from Professor Sycamore in Lumiose City after defeating him	Received from Professor Sycamore in Lumiose City after defeating him	Trade, Event	Trade, Event	Trade	Trade	Route 3 (Island Scan)Su	Route 3 (Island Scan)Su	Route 3, Route 4, Rock TunnelRoute 24 (Only one)	Route 3, Route 4, Rock TunnelRoute 24 (Only one)	Received from Leon at his house in Postwick after becoming Champion (Gigantamax Factor)Hammerlocke Hills, Lake of Outrage (Max Raid Battle)	Received from Leon at his house in Postwick after becoming Champion (Gigantamax Factor)Hammerlocke Hills, Lake of Outrage (Max Raid Battle)		Grand Underground - Volcanic Cave, Sandsear Cave, Typhlo Cavern (After obtaining the National Pokédex)	Grand Underground - Volcanic Cave, Sandsear Cave, Typhlo Cavern (After obtaining the National Pokédex)	 Unobtainable	Pokémon HOME	Pokémon HOME
#0005	Charmeleon	fire		['Blaze', 'Solar Power']	58	64	58	80	65	80	Evolve Charmander	Evolve Charmander	Evolve Charmander	 Evolve Charmander	Time Capsule, Evolve Event Charmander	Time Capsule, Evolve Event Charmander	 Time Capsule, Evolve Event Charmander	Trade, Evolve Event Charmander	Trade, Evolve Event Charmander	 Trade, Evolve Event Charmander	Evolve Charmander	Evolve Charmander	 Trade	 Trade	Trade, Evolve Event Charmander	Trade, Evolve Event Charmander	 Trade, Evolve Event Charmander	Evolve Charmander	Evolve Charmander	 Field	Poké Transfer, Evolve Event Charmander	Poké Transfer, Evolve Event Charmander	Poké Transfer, Evolve Event Charmander	Poké Transfer, Evolve Event Charmander	Friend Safari (Fire)	Friend Safari (Fire)	Trade, Evolve Event Charmander	Trade, Evolve Event Charmander	Trade	Trade	Evolve Charmander	Evolve Charmander	Evolve Charmander	Evolve Charmander	Hammerlocke Hills, Lake of Outrage (Max Raid Battle)	Hammerlocke Hills, Lake of Outrage (Max Raid Battle)	 Max Lair (Dynamax Adventure)	Evolve Charmander	Evolve Charmander	 Unobtainable	Pokémon HOME	Pokémon HOME
#0006	Charizard	fire	flying	['Blaze', 'Solar Power']	78	84	78	109	85	100	Evolve Charmeleon	Evolve Charmeleon	Evolve Charmeleon	 Evolve Charmeleon	Time Capsule, Event	Time Capsule, Event	 Time Capsule, Event	Trade, Event	Trade, Event	 Trade, Event	Evolve Charmeleon	Evolve Charmeleon	 Trade	 Trade	Trade	Trade	 Trade	Evolve Charmeleon	Evolve Charmeleon	 Field	Poké Transfer, Evolve Charmeleon (from Event Charmander)	Poké Transfer, Evolve Charmeleon (from Event Charmander)	Poké Transfer, Evolve Charmeleon (from Event Charmander)	Poké Transfer, Evolve Charmeleon (from Event Charmander)	Evolve Charmeleon	Evolve Charmeleon	Trade, Event	Trade, Event	Trade, Event	Trade, Event	Evolve Charmeleon	Evolve Charmeleon	Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25	Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25	Hammerlocke Hills (Max Raid Battle)Lake of Outrage (Max Raid Battle) (Gigantamax Factor)	Hammerlocke Hills (Max Raid Battle)Lake of Outrage (Max Raid Battle) (Gigantamax Factor)	 Fields of Honor, Loop Lagoon (Max Raid Battle)	Evolve Charmeleon	Evolve Charmeleon	 Unobtainable	Pokémon HOME, Poké Portal News	Pokémon HOME, Poké Portal News
#0007	Squirtle	water		['Torrent', 'Rain Dish']	44	48	65	50	64	43	Starter Pokémon from Professor Oak in Pallet Town	Starter Pokémon from Professor Oak in Pallet Town	Starter Pokémon from Professor Oak in Pallet Town	 Received from Officer Jenny in Vermilion City after receiving the Thunder Badge	Time Capsule, Event	Time Capsule, Event	 Time Capsule, Event	Trade, Event	Trade, Event	 Trade, Event	Starter Pokémon from Professor Oak in Pallet Town	Starter Pokémon from Professor Oak in Pallet Town	 Trade	 Trade	Trade	Trade	 Trade	Received from Professor Oak in Pallet Town after defeating Red	Received from Professor Oak in Pallet Town after defeating Red	 Pond	Global Link Event	Global Link Event	Poké Transfer, Event	Poké Transfer, Event	Received from Professor Sycamore in Lumiose City after defeating him	Received from Professor Sycamore in Lumiose City after defeating him	Trade, Event	Trade, Event	Trade	Trade	Seaward Cave (Island Scan)Mo	Seaward Cave (Island Scan)Mo	Route 24, Route 25, Seafoam IslandsVermilion City (Only one)	Route 24, Route 25, Seafoam IslandsVermilion City (Only one)	Wild Area News, Pokémon HOME EventTradeVersion 1.2.0+	Wild Area News, Pokémon HOME EventTradeVersion 1.2.0+	 Master Dojo (Only one; Gigantamax Factor)	Grand Underground - Fountainspring Cave, Riverbank Cave, Still-Water Cavern (After obtaining the National Pokédex)	Grand Underground - Fountainspring Cave, Riverbank Cave, Still-Water Cavern (After obtaining the National Pokédex)	 Unobtainable	Unobtainable	Unobtainable
#0008	Wartortle	water		['Torrent', 'Rain Dish']	59	63	80	65	80	58	Evolve Squirtle	Evolve Squirtle	Evolve Squirtle	 Evolve Squirtle	Time Capsule, Evolve Event Squirtle	Time Capsule, Evolve Event Squirtle	 Time Capsule, Evolve Event Squirtle	Trade, Evolve Event Squirtle	Trade, Evolve Event Squirtle	 Trade, Evolve Event Squirtle	Evolve Squirtle	Evolve Squirtle	 Trade	 Trade	Trade	Trade	 Trade	Evolve Squirtle	Evolve Squirtle	 Pond	Poké Transfer, Evolve Event Squirtle	Poké Transfer, Evolve Event Squirtle	Poké Transfer, Evolve Event Squirtle	Poké Transfer, Evolve Event Squirtle	Friend Safari (Water)	Friend Safari (Water)	Trade, Evolve Event Squirtle	Trade, Evolve Event Squirtle	Trade	Trade	Evolve Squirtle	Evolve Squirtle	Evolve Squirtle	Evolve Squirtle	Wild Area NewsTradeVersion 1.2.0+	Wild Area NewsTradeVersion 1.2.0+	 Max Lair (Dynamax Adventure)	Evolve Squirtle	Evolve Squirtle	 Unobtainable	Unobtainable	Unobtainable
#0009	Blastoise	water		['Torrent', 'Rain Dish']	79	83	100	85	105	78	Evolve Wartortle	Evolve Wartortle	Evolve Wartortle	 Evolve Wartortle	Time Capsule, Event	Time Capsule, Event	 Time Capsule, Event	Trade, Event	Trade, Event	 Trade, Event	Evolve Wartortle	Evolve Wartortle	 Trade	 Trade	Trade	Trade	 Trade	Evolve Wartortle	Evolve Wartortle	 Pond	Poké Transfer, Evolve Wartortle (from Event Squirtle)	Poké Transfer, Evolve Wartortle (from Event Squirtle)	Poké Transfer, Evolve Wartortle (from Event Squirtle)	Poké Transfer, Evolve Wartortle (from Event Squirtle)	Evolve Wartortle	Evolve Wartortle	Trade, Event	Trade, Event	Trade	Trade	Evolve Wartortle	Evolve Wartortle	Evolve Wartortle	Evolve Wartortle	Evolve Wild Area News WartortleTradeVersion 1.2.0+	Evolve Wild Area News WartortleTradeVersion 1.2.0+	 Evolve WartortleWorkout Sea, Stepping-Stone Sea (Max Raid Battle)	Evolve Wartortle	Evolve Wartortle	 Unobtainable	Unobtainable	Unobtainable
#0010	Caterpie	bug		['Shield Dust', 'Run Away']	45	30	35	20	20	45	 Route 25, Viridian Forest	 Routes 2, 24, and 25, Viridian Forest	Routes 2, 24, and 25, Viridian Forest	 Viridian Forest	 Routes 2, 30, and 31, Ilex Forest and National ParkMorningDayNational Park (Bug-Catching Contest)TuThSaRoutes 26, 27, 34, 35, 36, 37, 38, and 39, Azalea Town, Ilex Forest, Lake of Rage (Headbutt trees)	 National Park (Bug-Catching Contest)TuThSa	 Routes 2, 24, 25, 30, and 31, Ilex Forest and National ParkMorningDayNational Park (Bug-Catching Contest)TuThSaIlex Forest (Headbutt trees)	Trade	Trade	 Trade	Routes 2, 24, and 25, Viridian Forest, Pattern Bush	Routes 2, 24, and 25, Viridian Forest, Pattern Bush	 Trade	 Trade	Route 204 (FireRed)	Route 204 (FireRed)	 Route 204, Eterna Forest (FireRed)	 Routes 2, 30, and 31, Ilex Forest, National Park, Viridian ForestMorningDayNational Park (Bug-Catching Contest)TuThSaIlex Forest (Headbutt trees)	 National Park (Bug-Catching Contest)TuThSa	 Forest	 Trade	 Breed Metapod or Butterfree	 Trade	 Breed Butterfree	 Santalune Forest	 Route 2, Santalune Forest	Trade	Trade	Routes 1 and 5, Lush Jungle, Melemele Meadow	Routes 1 and 5, Lush Jungle, Melemele Meadow	Routes 1 and 5, Melemele MeadowLush Jungle (SOS Battle)	Routes 1 and 5, Melemele MeadowLush Jungle (SOS Battle)	Route 2, Viridian Forest	Route 2, Viridian Forest	Route 1Bridge Field, Dappled Grove, Rolling Fields, South Lake Miloch (Max Raid Battle)	Route 1Bridge Field, Dappled Grove, Rolling Fields, South Lake Miloch (Max Raid Battle)		 Grand Underground - Spacious Cave, Grassland Cave, Swampy Cave, Riverbank Cave Still-Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)	 Trade	 Unobtainable	Unobtainable	Unobtainable
